computer 1,computer 2
348.19999998807907,161.7000000178814
252.59999999403954,134
227.5,130.80000001192093
233.59999999403954,134.09999999403954
234,134.90000000596046
229.90000000596046,136.19999998807907
249,133.90000000596046
251.40000000596046,155.2000000178814
267.90000000596046,151.40000000596046
248,156.5
240.40000000596046,118.59999999403954
231.60000002384186,127.5
231.69999998807907,125.09999999403954
209.5,136.7999999821186
222.7000000178814,130.59999999403954
223,122.69999998807907
230.90000000596046,124.80000001192093
215.09999999403954,122
224.5,135.40000000596046
211.69999998807907,119.30000001192093
232.90000000596046,115.2999999821186
222.59999999403954,136.90000000596046
213.2000000178814,123.90000000596046
229.2999999821186,133.09999999403954
218.7999999821186,131.7000000178814
222.09999999403954,
224.09999999403954,126.7000000178814
215,137.7999999821186
221.5,127
220.69999998807907,120.19999998807907
223.30000001192093,137.30000001192093
221.2999999821186,141.80000001192093
214.59999999403954,148.90000000596046
219.69999998807907,131.5
232.7999999821186,133.60000002384186
215.69999998807907,136.09999999403954
216.2000000178814,130.09999999403954
208.59999999403954,131.80000001192093
215.30000001192093,126.19999998807907
222.30000001192093,131.39999997615814
231.40000000596046,
223.90000000596046,138.09999999403954
217.2000000178814,123.7999999821186
216.09999999403954,146.10000002384186
214.59999999403954,140.59999999403954
246,137.69999998807907
210.5,147.40000000596046
239.10000002384186,134.39999997615814
215,119.60000002384186
236.09999999403954,135.40000000596046
222,134.59999999403954
349.2999999821186,182.5
316,189.7000000178814
316.90000000596046,197.19999998807907
300.7000000178814,187.59999999403954
280.30000001192093,192.30000001192093
303.19999998807907,181.09999999403954
300.69999998807907,185.59999999403954
212.59999999403954,138.80000001192093
232.19999998807907,133.10000002384186
263.19999998807907,175.59999999403954
297.2000000178814,171.69999998807907
240.30000001192093,180.59999999403954
273.30000001192093,130.19999998807907
222.19999998807907,130.59999999403954
218.90000000596046,131.59999999403954
227.2999999821186,122.10000002384186
254.39999997615814,160.90000000596046
245.2000000178814,131.69999998807907
229.09999999403954,137.60000002384186
257.09999999403954,154.19999998807907
296.7000000178814,156.80000001192093
254,129.90000000596046
225.90000000596046,136.39999997615814
234.40000000596046,136.2000000178814
274.2999999821186,144.60000002384186
265.59999999403954,123.90000000596046
212.89999997615814,153.30000001192093
202.19999998807907,147.10000002384186
341.09999999403954,227.09999999403954
219.5,137.60000002384186
225.2999999821186,156
235.09999999403954,122.80000001192093
276.89999997615814,213.90000000596046
237.90000000596046,131.19999998807907
243.5,146.2000000178814
221.5,134.5
242.59999999403954,141.40000000596046
240.80000001192093,162
263.7999999821186,212.39999997615814
276.40000000596046,161.89999997615814
289,151.5
258.10000002384186,168.5
238.90000000596046,154.30000001192093
274.69999998807907,130.19999998807907
230.5,140.2000000178814
225.40000000596046,144.5
224,145.69999998807907
216.2000000178814,133.19999998807907
224.19999998807907,145.40000000596046
234.80000001192093,140.19999998807907
216.59999999403954,150.80000001192093
246.5,137.90000000596046
230.90000000596046,124.90000000596046
231,149.09999999403954
226.59999999403954,131.7000000178814
232.09999999403954,153.90000000596046
234.09999999403954,175.80000001192093
260.19999998807907,130.90000000596046
252.19999998807907,129.10000002384186
237.89999997615814,
268.09999999403954,173.69999998807907
253.7000000178814,129.90000000596046
218.2999999821186,143
266.09999999403954,147.7000000178814
282.59999999403954,144.90000000596046
293.09999999403954,168.30000001192093
254.5,151.59999999403954
236.59999999403954,153.90000000596046
247.7999999821186,141.40000000596046
234.2000000178814,127.90000000596046
239.59999999403954,132.09999999403954
230.59999999403954,141.59999999403954
224.5,137.2000000178814
225.7999999821186,122.60000002384186
216.59999999403954,
244.30000001192093,135
221,130.09999999403954
226.7000000178814,151.39999997615814
247.89999997615814,126.7000000178814
246.69999998807907,151
216.2000000178814,147.2999999821186
259.90000000596046,137.30000001192093
247,131
231,146.90000000596046
247.69999998807907,134.7000000178814
229.7999999821186,133.59999999403954
241.5,129.90000000596046
241.7000000178814,132.59999999403954
226.90000000596046,149.69999998807907
234.80000001192093,139.69999998807907
263.09999999403954,158
270.59999999403954,140.59999999403954
250.30000001192093,152.30000001192093
255.09999999403954,140.7999999821186
233.5,138.90000000596046
229.7000000178814,124
235.19999998807907,135.69999998807907
236.10000002384186,133.39999997615814
209,142.90000000596046
220.80000001192093,133.09999999403954
221.30000001192093,121.5
227,134.30000001192093
235.7999999821186,177.10000002384186
204.2999999821186,135.10000002384186
230.89999997615814,129.90000000596046
218.59999999403954,136.7000000178814
236.69999998807907,132.30000001192093
218.40000000596046,125.5
214.59999999403954,130.5
211,131.09999999403954
224.60000002384186,125.5
213.59999999403954,130.40000000596046
254.5,
228.80000001192093,133.69999998807907
209.2000000178814,128.5
213.7999999821186,132.5
224.30000001192093,124.80000001192093
225.7999999821186,138.09999999403954
220.59999999403954,128.59999999403954
208.90000000596046,137.59999999403954
238,122.5
217.30000001192093,128.09999999403954
243.90000000596046,132.59999999403954
235,125.90000000596046
221.40000000596046,128.19999998807907
199.7999999821186,122.5
203,131.90000000596046
228.5,
232.5,132.7000000178814
201.7999999821186,132.39999997615814
218.59999999403954,122.40000000596046
234.40000000596046,145.39999997615814
236.7000000178814,126.09999999403954
218.40000000596046,121.7999999821186
219,139.2000000178814
218.7999999821186,132.90000000596046
230.2000000178814,125.59999999403954
205.30000001192093,143.19999998807907
199.5,129.19999998807907
212.30000001192093,131.2000000178814
205.69999998807907,119.80000001192093
207.2999999821186,
227,128.60000002384186
206.09999999403954,117.80000001192093
210.09999999403954,118.19999998807907
213.2000000178814,139.19999998807907
230.09999999403954,129.7000000178814
211.59999999403954,117.2999999821186
211.40000000596046,131.59999999403954
211.40000000596046,140.59999999403954
214,145.5
204.5,116.40000000596046
203.40000000596046,130.40000000596046
210,133.80000001192093
208.59999999403954,124.69999998807907
233.5,
232.5,126.59999999403954
214.90000000596046,133.39999997615814
217.80000001192093,141.69999998807907
212.09999999403954,125.7999999821186
225.90000000596046,141.30000001192093
228.5,116.40000000596046
215.40000000596046,122.40000000596046
217.69999998807907,128.69999998807907
204.89999997615814,116.5
221.40000000596046,143.90000000596046
221.90000000596046,122.90000000596046
214,126.39999997615814
214.59999999403954,132.69999998807907
238.09999999403954,136.2000000178814
221.7999999821186,127.10000002384186
204.69999998807907,126
