computer 1,computer 2
189.09999999403954,21763
133.7000000178814,22414.09999999404
137.90000000596046,21577
111.30000001192093,19499.19999998808
111.40000000596046,
115.40000000596046,21190.40000000596
110.40000000596046,20816.899999976158
112.39999997615814,22135.29999998212
117.09999999403954,19889.69999998808
114.59999999403954,
114.40000000596046,21628.40000000596
114.40000000596046,26380.19999998808
124.30000001192093,20428.59999999404
120.7000000178814,21854.899999976158
115.80000001192093,
111.40000000596046,21760.09999999404
131.40000000596046,31494.80000001192
130.69999998807907,24814.09999999404
120.40000000596046,33902
175.19999998807907,27866.90000000596
125.7999999821186,26243.70000001788
139.90000000596046,28646.19999998808
127.5,24377.19999998808
135.69999998807907,22143.30000001192
112,28894.5
229.90000000596046,23717.70000001788
144.69999998807907,29908.09999999404
110.59999999403954,23352.69999998808
132.5,22265.59999999404
146.60000002384186,29602.5
139.40000000596046,30070.899999976158
154.40000000596046,28179.09999999404
125.59999999403954,25409.80000001192
